timestamp|cc|product_desc|product_purchase_number|cost|cc_billing_address,,,
2023-10-02 14:38:02|3531619787931254|bike-trek-large|0aa14202-a011-4a91-ad89-3a6bc51568b9|705.083873568789|16133 Hillsborough Boulevard, , Port Charlotte FL,33954
2023-10-02 22:24:53|9375006935794766|computer-dell-128|a4a0b9b2-6034-4605-ba03-d3af43bab65c|518.2479321395854|1405 Hickory Avenue, , Panama City FL,32401
2023-10-03 05:03:44|7498954151354650|bike-specialized-xlarge|1b8caae0-0980-44b0-a5df-1f0522b45540|370.53879316635584|1160 North College Avenue, #2, Fayetteville AR,72703
2023-10-03 13:01:16|3619889281155656|vest-pink-small|b95f6f0d-015f-4c46-b924-99d2d3c778fd|717.8508395518519|1609 Porter Avenue, , Nashville TN,37206
2023-10-04 06:24:06|0208403799485930|tie-blue-kipper-medium|1a97f917-da5a-472a-b638-6c7b484de51d|354.04682377224526|6435 West Hillsborough Avenue, #Lot 11, Tampa FL,33634
2023-10-04 14:57:38|3096432654708865|vest-yellow-large|46bf1c0f-dda9-43d0-95da-cbfb56409396|28.826808801740842|241 Methuen Street, , Lowell MA,1850
2023-10-05 10:13:26|2154105336387403|tie-yellow-pencil-medium|cfb5bbfa-7f1d-4d8f-a133-84050c2c81e7|158.8932585381883|3060 Zelda Road, , Montgomery AL,36106
2023-10-06 00:30:08|8714767261891016|car-ford-compact|ae69f0d8-004e-49df-89ad-308372878fa4|934.0792736062227|3301 Old Muldoon Road, , Anchorage AK,99504
2023-10-06 21:47:05|3928531546949880|shirt-yellow-medium|09922297-83c6-4ab9-bebd-0eb8487cc03e|826.9945508115832|3782 North Front Street, #2, Fayetteville AR,72703
2023-10-06 22:13:47|9363841458290559|ebike-pace-small|071ae487-3c96-4c96-a437-b4661ee84aac|509.4408047516373|2715 Thornbrook Court, , Odenton MD,21113
2023-10-06 23:23:49|0084391258817355|bike-cannondale-medium|628db81d-6806-4568-b0cd-bf8a58c050a2|865.2386686281646|7609 Doris Place, , Oklahoma City OK,73162
2023-10-07 02:33:29|1139724256636349|coat-magenta-xlarge|815addd2-aa8c-4410-837d-9713d65056b1|587.8809266696588|18 Hamilton Street Northwest, , Washington DC,20011
2023-10-07 04:21:20|7587527986165130|computer-ibm-128|8d54ba65-ad97-4be8-aa59-640f7e4f6ac1|172.56824306133714|33 Linscott Road, , Hingham MA,2043
2023-10-07 15:41:15|3289087630558327|sock-green-large|6317c1e6-147c-4834-8b2b-d04ae7612832|947.7990546661287|3115 Cherokee Drive, , Fayetteville AR,72701
2023-10-07 19:41:31|1462230210007810|vest-red-small|0bf141b7-4aa7-406f-854c-0196e5f5fa43|130.08838376148637|19803 North Mitkof Loop, , Anchorage AK,99577
2023-10-08 00:49:08|6792724122431137|shirt-red-large|f27b1bac-2b04-4722-bda1-5e348691f15f|582.874236865805|653 Stratton Arlington Road, , Stratton VT,5360
2023-10-08 12:51:56|8389742157848605|computer-dell-32|065bbcf4-a474-44b8-819e-d87facf5b1e2|852.5968169528389|2638 East 40th Plaza, , Panama City FL,32405
2023-10-08 20:06:36|1883542902441928|pants-magenta-medium|7b3bb0ce-0404-4a2f-844a-465cc2699ef2|359.73459173989033|7000 Hugh Drive, , Panama City FL,32404
2023-10-09 03:09:52|6636256831417880|scooter-hiboy-small|0fb4335f-b05f-4d78-bec5-9a6aba8e8abf|81.2231585578898|913 Fallview Trail, , Nashville TN,37211
2023-10-09 11:53:16|7421147804947679|car-bmw-truck|7f8fb5cf-ae74-45ce-a33e-9fabe387d539|388.2826012641835|129 Lark Lane, , Farmington AR,72730
2023-10-09 20:30:54|5871781018463010|vest-yellow-xlarge|be4d1148-3521-4479-be92-7eadfe4e8cf9|148.70822436149624|1416 Ridgewood Avenue, , Panama City FL,32404
2023-10-09 21:42:11|3676183465754267|scooter-gotrax-large|5bc5e01b-361f-4592-b593-08c71350f322|9.812161308975995|3437 Sommerville Drive, , Montgomery AL,36111
2023-10-11 10:20:42|2362842884412689|vest-blue-small|e64ff5ef-d11d-4c31-853e-cdd8a79aeb07|51.73007315172505|240 Lynwood Drive, , Montgomery AL,36105
2023-10-11 19:11:55|8020467174237044|shirt-violet-xlarge|27e5f7d1-5f84-45e1-87a5-4987535c371e|225.03906037708532|427 Gulf View Drive, , Panama City Beach FL,32413
2023-10-12 06:18:48|6367282830317086|coat-orange-medium|00bc9d9c-93bd-4c75-8828-4b0f2a4a010f|1786.802597977754|557 West Willoughby Road, , Fayetteville AR,72701
2023-10-12 10:41:14|2543462705228463|sock-pink-medium|574f996a-ca61-4916-a514-2c58ae0eeed8|770.5434187183403|6225 West Citrus Way, , Glendale AZ,85301
2023-10-12 15:30:47|6315378765676126|computer-dell-8|5b1a0ce1-32c9-47e1-9e51-c4830e9c5ea2|114.97495753681048|9302 West 58th Avenue, , Arvada CO,80002
2023-10-12 20:48:42|4662309902432409|coat-red-small|64627a2e-f811-4a39-840f-eaf882052026|631.9730068309373|3500 South College Avenue, , Fort Collins CO,80525
