timestamp|cc|product_desc|product_purchase_number|cost|cc_billing_address,,,
2023-10-02 06:25:29|1663061945050598|scooter-hiboy-medium|076a7c2a-5304-4b97-bd54-8e666dc677bd|219.6591506818137|15 Lakewood Drive, , Thunderbolt GA,31410
2023-10-04 15:28:28|5155888342826221|scooter-niu-medium|560e25a9-e031-4a0a-86ba-e465bc1cec51|669.6802284760647|4331 Foeburn Lane, , Louisville KY,40207
2023-10-04 16:06:37|9532787622249755|shirt-magenta-xlarge|4b5907e9-43ca-45d1-bec4-1e657b9c8a72|432.62025791761647|8595 North 71st Avenue, #1, Glendale AZ,85301
2023-10-05 07:10:29|2749858276144389|tv-tcl-55|7a27674d-0d31-4ea2-a291-fdbaf8aa2fa9|891.6418906348588|4525 West Frier Drive, , Glendale AZ,85301
2023-10-05 16:08:02|0366833506124230|sock-yellow-small|1d0700eb-3f5f-4c14-9237-c21cdf825662|894.0683472939928|185 Longview Road, , West Tisbury MA,2568
2023-10-06 07:40:03|0466557075511783|shirt-red-medium|313210d0-b23e-44b7-99a8-c8fc006a082d|655.0957872396224|1842 West Park Place, , Oklahoma City OK,73106
2023-10-06 13:34:19|7446343875792329|shirt-violet-large|12691184-e822-4568-921a-f2a00f74d904|621.2394267205165|4308 Princess Lane, , Nashville TN,37218
2023-10-10 20:46:18|7059442498504216|scooter-hiboy-small|19962ad9-9ac5-499d-8fef-c4148b6cc725|185.2735825994074|5843 West McLellan Road, , Glendale AZ,85301
2023-10-11 07:25:47|1502822297773224|sock-red-medium|20ccb8f3-bc10-4da3-b162-f8530a092538|162.37544048008894|4 Eastview Lane, , Savannah GA,31410
2023-10-12 02:09:53|1589191265816282|coat-blue-large|f414f18e-6d97-4828-9376-c61363272e7e|666.327350698129|302 Black Sky Lane, , Pasadena MD,21122
2023-10-13 00:31:09|3916675405134337|tie-blue-kipper-large|dfd968bb-d0c5-455d-a279-2cfaaf837e66|546.4802456956874|7106 Bear Creek Drive, #B3, Saint Matthews KY,40207
2023-10-13 07:19:59|7974448031894100|car-gm-suv|f8829d3a-9f68-475c-a3d9-b456ba4e2f72|715.6073138058946|1124 Bluewillow Court, , Nashville TN,37013
2023-10-15 03:35:16|4197816941413231|bike-specialized-medium|edee07ce-048d-4dd1-97d7-926cc412a726|266.4072541624425|2220 Kirk Avenue, , Nashville TN,37218
2023-10-17 09:34:19|8212694115230183|pants-green-medium|5d39d320-32ef-424f-97dd-ca6bd7585448|640.1980024383954|11985 West 56th Drive, , Arvada CO,80002
2023-10-19 09:18:23|3588688002836240|scooter-gotrax-large|ec98c82b-5fb9-4c15-9f13-cc4085c83e9f|316.5481171528774|503 Orchard Road, , Glen Burnie MD,21061
2023-10-22 20:05:25|6478984335766320|ebike-velotric-large|d6998c84-0f4c-473a-842c-2bf6d450bb06|560.7836772271504|189 Dalton Avenue, , Pittsfield MA,1201
2023-10-23 01:33:27|9390257764426197|vest-orange-large|2a3b1227-c073-47d8-8223-9c15d754cf9f|531.1174509265682|1309 Columbia Road Northwest, , Washington DC,20009
2023-10-23 07:45:14|4907284882115882|sock-magenta-large|e11a7958-224b-4646-882f-12cd3cc29347|91.15659099260368|9306 Taylorsville Road, , Louisville KY,40299
2023-10-23 10:43:48|9275135332534013|sock-blue-xlarge|1241d440-54cd-493e-b898-ccb47e1be1d2|630.0462241785087|1311 Northwest 98th Street, , Oklahoma City OK,73114
2023-10-23 18:07:42|4024786961849329|computer-mac-4|84a8bcd8-af6f-4e52-9761-38aef54ab0df|16.430760178868965|798 Airport Road, , Panama City FL,32405
2023-10-29 20:26:41|3674849417673792|computer-mac-128|77561faf-19ff-4b94-ba6e-a8abcbd609c7|267.1409014894434|402 Tuten Avenue, , Savannah GA,31415
2023-10-30 07:32:33|4435195935298447|scooter-gotrax-xlarge|12d96491-c782-4bf3-8913-1b25f39f8480|768.5603291235525|36043 Soapberry Commons, , Fremont CA,94536
2023-10-30 17:47:05|9946230285958082|pants-violet-large|f08a837c-39fe-4877-8c1b-cd04411c8075|905.6593180743998|93 Marble Hill Road, , Waitsfield VT,5673
2023-10-31 22:49:05|9155995357255401|car-mazda-truck|c6af097e-ec39-40d3-93aa-d30e44464ea6|676.9757523803564|208 Southeast 19th Street, , Oklahoma City OK,73129
2023-11-01 09:18:36|9658608318218381|pants-blue-xlarge|2269ba59-bc68-448e-a4cb-5cc650905715|760.2173842347293|6145 East Castro Valley Boulevard, , Castro Valley CA,94552
